,ReportDataID,TermID,TermYear,TernDay,NormID,NormGroupID,NormName,UnitCode,NormTypeID,FromSource,NormValue,ReportTime
66,72287,1,2023,2023-08-11 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,12/08/2023
67,72286,1,2023,2023-08-11 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23837.0,12/08/2023
68,72266,1,2023,2023-08-09 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,10/08/2023
69,72265,1,2023,2023-08-09 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23826.0,10/08/2023
70,72253,1,2023,2023-08-07 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,08/08/2023
71,72252,1,2023,2023-08-07 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23802.0,08/08/2023
72,72238,1,2023,2023-08-04 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,05/08/2023
73,72237,1,2023,2023-08-04 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23825.0,05/08/2023
74,72225,1,2023,2023-08-03 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,04/08/2023
75,72224,1,2023,2023-08-03 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23825.0,04/08/2023
76,72156,1,2023,2023-08-02 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,03/08/2023
77,72155,1,2023,2023-08-02 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23803.0,03/08/2023
78,72143,1,2023,2023-08-01 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,02/08/2023
79,72142,1,2023,2023-08-01 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23773.0,02/08/2023
80,72130,1,2023,2023-07-31 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,01/08/2023
81,72129,1,2023,2023-07-31 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23757.0,01/08/2023
