,ReportDataID,TermID,TermYear,TernDay,NormID,GroupName,NormGroupID,NormName,UnitCode,CssStyle,NormTypeID,FromSource,NormValue,ReportTime
70,57030,1,2018,2018-12-12 17:00:00,501,,0,9 months,%,Padding1,66,,0.0,13/12/2018
71,36313,1,2018,2018-12-12 17:00:00,298,,0,6 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,6.08,13/12/2018
72,36312,1,2018,2018-12-12 17:00:00,297,,0,3 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.59,13/12/2018
73,36311,1,2018,2018-12-12 17:00:00,296,,0,1 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.34,13/12/2018
74,36310,1,2018,2018-12-12 17:00:00,295,,0,2 Weeks,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.89,13/12/2018
75,36309,1,2018,2018-12-12 17:00:00,294,,0,1 Weeks,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.84,13/12/2018
76,36308,1,2018,2018-12-12 17:00:00,293,,0,Overnight,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.82,13/12/2018
77,57029,1,2018,2018-12-11 17:00:00,501,,0,9 months,%,Padding1,66,,0.0,12/12/2018
78,36306,1,2018,2018-12-11 17:00:00,298,,0,6 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.94,12/12/2018
79,36305,1,2018,2018-12-11 17:00:00,297,,0,3 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.56,12/12/2018
80,36304,1,2018,2018-12-11 17:00:00,296,,0,1 Months,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,5.07,12/12/2018
81,36303,1,2018,2018-12-11 17:00:00,295,,0,2 Weeks,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.81,12/12/2018
82,36302,1,2018,2018-12-11 17:00:00,294,,0,1 Weeks,%,Padding1,66,Ngân hàng Nhà nước Việt Nam,4.83,12/12/2018
