,quarter,cash_cycle,net_profit,profit_growth_(%),revenue,revenue_growth_(%),market_capital,eps_(vnd),p/e,p/b,p/s,p/cash_flow,outstanding_share,ev/ebitda,bvps_(vnd),cash_ratio,dept/equity,roe_(%),roa_(%),days_sales_outstanding,days_inventory_outstanding,quick_ratio,days_payable_outstanding,gross_profit_margin_(%),ebit_margin_(%),net_profit_margin_(%),current_ratio,asset_turnover,(st_+_lt_borrowings)/equity,financial_leverage,roic_(%),interest_coverage,fixed_asset_turnover,symbol,net_interest_income,net_interest_income_growth_(%)
20,Q4 2021,32.5820967221,60517570104,0.04871008908542097,4201845098822.0,0.9809409367068365,4341578796800.0,200.6265828952,13.8224767009,0.9055348556,0.3303311653,9.0434314794,326434496.0,9.7640974192,14687.452303074,0.6094709761,0.8305115532,0.0633656499,0.0293523302,24.9506978525,23.451955121,1.1647212746,15.8205562514,0.0906653109,0.0164552724,0.0144129385,1.6367860943,0.4209624112,0.6135280085,2.1587945281,0.0432879959,1.8849677933,1.9672674735,AAA,,
21,Q1 2022,35.5030635448,88086043638,0.17226391687987241,4027853795475.0,0.7632201308984297,4682862576000.0,274.9313828942,13.3803436105,0.9724553301,0.3143188458,5.1880702464,382274496.0,10.2013497817,12596.9796462854,0.4037865806,0.9496231239,0.0622205986,0.0296939138,27.8478783111,24.8622605727,1.0155350439,17.207075339,0.0977424569,0.0310692619,0.0218701455,1.4490759511,0.3935455245,0.6648618613,2.0953990453,0.0452823849,3.1390008365,1.9376852453,AAA,,
22,Q2 2022,41.0477641884,85425095236,-0.010442531381269025,4578733575653.0,0.4003115689726425,2981741068800.0,251.7621583188,9.0676533791,0.6120623699,0.1839608747,8.6013073189,382274496.0,9.0702472452,12743.7992988578,0.2553909736,0.9547278508,0.0616755474,0.0286837256,28.3020056318,31.5631513919,0.8093052334,18.8173928353,0.075156941,0.0229258889,0.0186727226,1.4534049331,0.4274611098,0.6350766182,2.1501930523,0.0420146964,2.9222450774,2.2589927796,AAA,,
23,Q3 2022,71.6881903033,79866172011,0.2775571639168427,3291406943915.0,-0.0345698020369068,3184346551680.0,234.5214040577,9.0373510339,0.5672320679,0.1980103761,17.9867708205,382274496.0,8.3411988236,14685.3474479318,0.4068594193,0.7635524937,0.0624264531,0.0294222921,36.11458679,61.8355460273,0.9941175424,26.261942514,0.0939502764,0.0333004401,0.0243469586,1.8456342058,0.2954495151,0.5327695469,2.1217399666,0.0445104879,2.7063777397,1.670987871,AAA,,
24,Q4 2022,61.188083385,-97726483611,-2.6148448036339884,3415845425613.0,-0.18706060188400506,4071223382400.0,-275.4256541823,24.7630912921,0.7375555251,0.266261889,38.918821699,382274496.0,14.282849082,14439.5908352071,0.5180994395,0.7480560457,0.0299086513,0.0143245371,27.7472094054,53.4471654505,1.003786248,20.0062914709,0.010055858,-0.0497310248,-0.0286877386,1.7599519971,0.308854542,0.5075213109,2.0879314385,0.0182690397,-2.9431843515,1.6991594732,AAA,,
25,Q1 2023,48.3260930348,53895480338,-0.38814960790508607,3617596915511.0,-0.1018549581975626,4721090025600.0,146.1454126584,37.4972912396,0.8474923649,0.3173102441,8.5755146811,382274496.0,16.2530945121,14572.4026691386,0.5595211732,0.749597588,0.0225218533,0.0110697662,25.9575957528,40.0721432958,1.1257183139,17.7036460138,0.0680647011,0.0195582789,0.0149017856,1.7378179086,0.3335945149,0.544912564,2.0345374062,0.0121946446,1.5672253338,1.7662050009,AAA,,
26,Q2 2023,49.2772269743,42275112576,-0.5051206854471922,2792257990090.0,-0.3901680576180326,3574266537600.0,112.222728483,40.7445172262,0.5726454677,0.2437580363,3.3724696217,382274496.0,15.3166364415,14581.4478091942,0.380145884,0.770128061,0.0141870418,0.0071508626,31.6450427107,39.7307382897,0.7638850655,22.0985540261,0.0794325747,0.0206639074,0.0153940135,1.5478321071,0.252222006,0.5118482527,1.983962304,0.0071233825,1.2375690029,1.3680713701,AAA,,
27,Q3 2023,40.9475629332,99049764272,0.24019671630634604,3531352090707.0,0.07290048021427414,3677480651520.0,259.1063890174,37.7201204206,0.6479457676,0.2755975061,1.9207199786,382274496.0,15.5910753992,14846.9215804656,0.5269991075,0.8006526423,0.0174593204,0.0087588522,26.3213267472,32.0669844741,1.126590153,17.4407482881,0.0906042073,0.0287019609,0.0280667469,1.8272371814,0.3090221578,0.4892436439,1.9933342898,0.006180697,2.1719904108,1.7379788018,AAA,,
28,Q4 2016,,328357000000,0.8690205141048701,,,23464450654400.0,333.0526148966,16.8409406614,1.5869748561,,,985901288.0,,14997.0870105626,,,0.0976538213,0.0059275884,,,,,,,,,,,,,,,ACB,1946263000000.0,0.17609063738399305
29,Q1 2017,,478166000000,0.5410988925988475,,,25436253230400.0,485.00393369,17.0362777989,1.8208897388,,,985901288.0,,14168.8974626211,,,0.1071580731,0.0063812265,,,,,,,,,,,,,,,ACB,1908067000000.0,0.2064385389201869
