,ReportDataID,TermID,TermYear,TernDay,NormID,GroupName,NormGroupID,NormName,UnitCode,CssStyle,NormTypeID,FromSource,NormValue,ReportTime
84,71157,5,2023,2023-05-03 17:00:00,400,,0,Beverage and cigarette,%,Padding2,52,Tổng cục thống kê,0.12,Apr-2023
85,71152,5,2023,2023-05-03 17:00:00,399,,0,Eating outside,%,Padding3,52,Tổng cục thống kê,0.13,Apr-2023
86,71151,5,2023,2023-05-03 17:00:00,398,,0,Foodstuff,%,Padding3,52,Tổng cục thống kê,-0.71,Apr-2023
87,71150,5,2023,2023-05-03 17:00:00,397,,0,Food,%,Padding3,52,Tổng cục thống kê,0.3,Apr-2023
88,71149,5,2023,2023-05-03 17:00:00,396,,0,Food and foodstuff,%,Padding2,52,Tổng cục thống kê,-0.38,Apr-2023
89,71147,5,2023,2023-05-03 17:00:00,395,,0,Consumer Price Index,%,Padding1,52,Tổng cục thống kê,-0.34,Apr-2023
90,70790,4,2023,2023-03-28 17:00:00,409,,0,Other goods and services ,%,Padding2,52,Tổng cục thống kê,0.21,Mar-2023
91,70789,4,2023,2023-03-28 17:00:00,408,,0,"Culture, entertainment and tourism",%,Padding2,52,Tổng cục thống kê,0.13,Mar-2023
92,70788,4,2023,2023-03-28 17:00:00,407,,0,Education,%,Padding2,52,Tổng cục thống kê,-1.71,Mar-2023
93,70787,4,2023,2023-03-28 17:00:00,406,,0,Postal services and Telecommunication,%,Padding2,52,Tổng cục thống kê,-0.02,Mar-2023
94,70796,4,2023,2023-03-28 17:00:00,405,,0,Traffic,%,Padding2,52,Tổng cục thống kê,-0.16,Mar-2023
95,70795,4,2023,2023-03-28 17:00:00,404,,0,Medicine and health care,%,Padding2,52,Tổng cục thống kê,0.06,Mar-2023
96,70794,4,2023,2023-03-28 17:00:00,403,,0,Household appliances and goods,%,Padding2,52,Tổng cục thống kê,0.14,Mar-2023
97,70793,4,2023,2023-03-28 17:00:00,402,,0,Housing and construction materials,%,Padding2,52,Tổng cục thống kê,0.36,Mar-2023
98,70792,4,2023,2023-03-28 17:00:00,401,,0,"Garment, Footwear, hat",%,Padding2,52,Tổng cục thống kê,-0.02,Mar-2023
99,70791,4,2023,2023-03-28 17:00:00,400,,0,Beverage and cigarette,%,Padding2,52,Tổng cục thống kê,-0.05,Mar-2023
100,70786,4,2023,2023-03-28 17:00:00,399,,0,Eating outside,%,Padding3,52,Tổng cục thống kê,0.11,Mar-2023
101,70785,4,2023,2023-03-28 17:00:00,398,,0,Foodstuff,%,Padding3,52,Tổng cục thống kê,-1.0,Mar-2023
102,70784,4,2023,2023-03-28 17:00:00,397,,0,Food,%,Padding3,52,Tổng cục thống kê,0.28,Mar-2023
103,70783,4,2023,2023-03-28 17:00:00,396,,0,Food and foodstuff,%,Padding2,52,Tổng cục thống kê,-0.58,Mar-2023
104,70781,4,2023,2023-03-28 17:00:00,395,,0,Consumer Price Index,%,Padding1,52,Tổng cục thống kê,-0.23,Mar-2023
105,70401,3,2023,2023-02-27 17:00:00,409,,0,Other goods and services ,%,Padding2,52,Tổng cục thống kê,0.12,Feb-2023
106,70400,3,2023,2023-02-27 17:00:00,408,,0,"Culture, entertainment and tourism",%,Padding2,52,Tổng cục thống kê,-0.02,Feb-2023
107,70399,3,2023,2023-02-27 17:00:00,407,,0,Education,%,Padding2,52,Tổng cục thống kê,-0.57,Feb-2023
108,70398,3,2023,2023-02-27 17:00:00,406,,0,Postal services and Telecommunication,%,Padding2,52,Tổng cục thống kê,-0.1,Feb-2023
109,70407,3,2023,2023-02-27 17:00:00,405,,0,Traffic,%,Padding2,52,Tổng cục thống kê,2.11,Feb-2023
110,70406,3,2023,2023-02-27 17:00:00,404,,0,Medicine and health care,%,Padding2,52,Tổng cục thống kê,0.02,Feb-2023
111,70405,3,2023,2023-02-27 17:00:00,403,,0,Household appliances and goods,%,Padding2,52,Tổng cục thống kê,0.09,Feb-2023
112,70404,3,2023,2023-02-27 17:00:00,402,,0,Housing and construction materials,%,Padding2,52,Tổng cục thống kê,1.81,Feb-2023
113,70403,3,2023,2023-02-27 17:00:00,401,,0,"Garment, Footwear, hat",%,Padding2,52,Tổng cục thống kê,-0.08,Feb-2023
114,70402,3,2023,2023-02-27 17:00:00,400,,0,Beverage and cigarette,%,Padding2,52,Tổng cục thống kê,-0.12,Feb-2023
115,70397,3,2023,2023-02-27 17:00:00,399,,0,Eating outside,%,Padding3,52,Tổng cục thống kê,0.45,Feb-2023
116,70396,3,2023,2023-02-27 17:00:00,398,,0,Foodstuff,%,Padding3,52,Tổng cục thống kê,-0.49,Feb-2023
117,70395,3,2023,2023-02-27 17:00:00,397,,0,Food,%,Padding3,52,Tổng cục thống kê,0.26,Feb-2023
118,70394,3,2023,2023-02-27 17:00:00,396,,0,Food and foodstuff,%,Padding2,52,Tổng cục thống kê,-0.17,Feb-2023
119,70392,3,2023,2023-02-27 17:00:00,395,,0,Consumer Price Index,%,Padding1,52,Tổng cục thống kê,0.45,Feb-2023
120,70081,2,2023,2023-01-29 17:00:00,409,,0,Other goods and services ,%,Padding2,52,Tổng cục thống kê,0.7,Jan-2023
121,70080,2,2023,2023-01-29 17:00:00,408,,0,"Culture, entertainment and tourism",%,Padding2,52,Tổng cục thống kê,0.42,Jan-2023
122,70079,2,2023,2023-01-29 17:00:00,407,,0,Education,%,Padding2,52,Tổng cục thống kê,-0.15,Jan-2023
123,70078,2,2023,2023-01-29 17:00:00,406,,0,Postal services and Telecommunication,%,Padding2,52,Tổng cục thống kê,0.0,Jan-2023
124,70087,2,2023,2023-01-29 17:00:00,405,,0,Traffic,%,Padding2,52,Tổng cục thống kê,1.39,Jan-2023
125,70086,2,2023,2023-01-29 17:00:00,404,,0,Medicine and health care,%,Padding2,52,Tổng cục thống kê,0.07,Jan-2023
126,70085,2,2023,2023-01-29 17:00:00,403,,0,Household appliances and goods,%,Padding2,52,Tổng cục thống kê,0.36,Jan-2023
127,70084,2,2023,2023-01-29 17:00:00,402,,0,Housing and construction materials,%,Padding2,52,Tổng cục thống kê,-0.12,Jan-2023
128,70083,2,2023,2023-01-29 17:00:00,401,,0,"Garment, Footwear, hat",%,Padding2,52,Tổng cục thống kê,0.62,Jan-2023
129,70082,2,2023,2023-01-29 17:00:00,400,,0,Beverage and cigarette,%,Padding2,52,Tổng cục thống kê,1.12,Jan-2023
130,70077,2,2023,2023-01-29 17:00:00,399,,0,Eating outside,%,Padding3,52,Tổng cục thống kê,0.46,Jan-2023
131,70076,2,2023,2023-01-29 17:00:00,398,,0,Foodstuff,%,Padding3,52,Tổng cục thống kê,0.95,Jan-2023
132,70075,2,2023,2023-01-29 17:00:00,397,,0,Food,%,Padding3,52,Tổng cục thống kê,0.89,Jan-2023
133,70074,2,2023,2023-01-29 17:00:00,396,,0,Food and foodstuff,%,Padding2,52,Tổng cục thống kê,0.82,Jan-2023
134,70072,2,2023,2023-01-29 17:00:00,395,,0,Consumer Price Index,%,Padding1,52,Tổng cục thống kê,0.52,Jan-2023
135,69781,13,2022,2022-12-28 17:00:00,409,,0,Other goods and services ,%,Padding2,52,Tổng cục thống kê,0.23,Dec-2022
136,69780,13,2022,2022-12-28 17:00:00,408,,0,"Culture, entertainment and tourism",%,Padding2,52,Tổng cục thống kê,0.09,Dec-2022
137,69779,13,2022,2022-12-28 17:00:00,407,,0,Education,%,Padding2,52,Tổng cục thống kê,0.32,Dec-2022
138,69778,13,2022,2022-12-28 17:00:00,406,,0,Postal services and Telecommunication,%,Padding2,52,Tổng cục thống kê,-0.04,Dec-2022
139,69787,13,2022,2022-12-28 17:00:00,405,,0,Traffic,%,Padding2,52,Tổng cục thống kê,-2.78,Dec-2022
140,69786,13,2022,2022-12-28 17:00:00,404,,0,Medicine and health care,%,Padding2,52,Tổng cục thống kê,0.08,Dec-2022
141,69785,13,2022,2022-12-28 17:00:00,403,,0,Household appliances and goods,%,Padding2,52,Tổng cục thống kê,0.22,Dec-2022
142,69784,13,2022,2022-12-28 17:00:00,402,,0,Housing and construction materials,%,Padding2,52,Tổng cục thống kê,0.66,Dec-2022
143,69783,13,2022,2022-12-28 17:00:00,401,,0,"Garment, Footwear, hat",%,Padding2,52,Tổng cục thống kê,0.41,Dec-2022
144,69782,13,2022,2022-12-28 17:00:00,400,,0,Beverage and cigarette,%,Padding2,52,Tổng cục thống kê,0.45,Dec-2022
145,69777,13,2022,2022-12-28 17:00:00,399,,0,Eating outside,%,Padding3,52,Tổng cục thống kê,0.26,Dec-2022
146,69776,13,2022,2022-12-28 17:00:00,398,,0,Foodstuff,%,Padding3,52,Tổng cục thống kê,0.05,Dec-2022
147,69775,13,2022,2022-12-28 17:00:00,397,,0,Food,%,Padding3,52,Tổng cục thống kê,0.48,Dec-2022
148,69774,13,2022,2022-12-28 17:00:00,396,,0,Food and foodstuff,%,Padding2,52,Tổng cục thống kê,0.15,Dec-2022
149,69772,13,2022,2022-12-28 17:00:00,395,,0,Consumer Price Index,%,Padding1,52,Tổng cục thống kê,-0.01,Dec-2022
150,69435,12,2022,2022-11-28 17:00:00,409,,0,Other goods and services ,%,Padding2,52,Tổng cục thống kê,0.22,Nov-2022
151,69434,12,2022,2022-11-28 17:00:00,408,,0,"Culture, entertainment and tourism",%,Padding2,52,Tổng cục thống kê,0.21,Nov-2022
152,69433,12,2022,2022-11-28 17:00:00,407,,0,Education,%,Padding2,52,Tổng cục thống kê,-0.63,Nov-2022
153,69432,12,2022,2022-11-28 17:00:00,406,,0,Postal services and Telecommunication,%,Padding2,52,Tổng cục thống kê,-0.02,Nov-2022
154,69441,12,2022,2022-11-28 17:00:00,405,,0,Traffic,%,Padding2,52,Tổng cục thống kê,2.23,Nov-2022
155,69440,12,2022,2022-11-28 17:00:00,404,,0,Medicine and health care,%,Padding2,52,Tổng cục thống kê,0.06,Nov-2022
156,69439,12,2022,2022-11-28 17:00:00,403,,0,Household appliances and goods,%,Padding2,52,Tổng cục thống kê,0.21,Nov-2022
157,69438,12,2022,2022-11-28 17:00:00,402,,0,Housing and construction materials,%,Padding2,52,Tổng cục thống kê,0.97,Nov-2022
